Case_category,Clean Text,Particiant Role
kj_sport,平权？平权要的是男女平等，追求的是权利平等。而不是你们这种通过各种贬低男性，非要把男女对立起来，树立成敌对关系的伪女权。这么讨厌男性，我是不知道辛辛苦苦把你养大的你的父亲怎么想？也不知道你们是怎么看待父母关系的。世界不是非黑即白的。正确的永远是正确，也不会随着伪女权改变。,辩护者
kj_sport,"评论那些骂人死爹死妈的确实素质很低，但是你的意思就是你也认为人家柯洁把某个评论截图发一下就是针对女性了？然后你觉得那句""中国男人配不上中国女人""说得对？想一想你们老公，你们爸爸，你们爷爷，他们为了你们家承担了多少，自己想一想呀",辩护者
kj_sport,直接骂人确实很不好但是，他说柯洁针对女性，可是柯洁就发了几张截图呀。很奇怪为什么微博上男女关系会变的这么差，也不知道是不是大部分人都认为果子狸那一批人人的理论上对的。我觉得女性为自己的权利争取奋斗是对的，但是女?? 不行,辩护者
kj_sport,到底谁在物化女性，赌王多少老婆多少孩子？何猷君5月求婚7月结婚10月生孩子，生下何鸿燊长孙？为了家产生孩子把女性当生殖工具你们不去对线？柯洁因为看不惯热搜不是集装箱事件说了个女明星下蛋你们急眼了？究竟谁在物化女性？,辩护者
kj_sport,她怎么宣传母凭子贵了……她愿意生孩子给何家来换取她自己的地位是她的事，就是普通人好多人重男轻女也是别人家的家事吧。奚梦瑶生孩子这事跟柯洁有关吗，他吃家饭管野事就注定会被人厌烦,辩护者
kj_sport,柯洁反讽女拳的微博我也觉得不妥，但这些营销号也不是好东西。这件事明明就是这个人先在柯洁微博下骂他，柯洁气不过就去她微博下骂，营销号只放柯洁和她粉丝骂人的图，故意带节奏赚流量,辩护者
kj_sport,@清华大学 贵校学生利用名声引导网友网暴普通人，这就是清华的教育吗？还不对这种学生作出警告或处罚，代表清华认同“利用网络暴力党同伐异”的做法是吗？,辩护者
kj_sport,一个世界冠军，荣耀都让你得了，还不夹着尾巴做人。在网上随意发表观点，显得你比我们平民老百姓聪明？不喷他喷谁？真是的，世界冠军就不能看新闻发表自己的观点 懂了吗,辩护者
kj_sport,洁宝实话都说不得啦？上一句男生比较理想女生比较感性看不见？他说男女有别但是有将男女拿来比个高下吗？男女有别这个词我寻思也没有比较男女都意思吧 ?评论配图,辩护者
kj_sport,得了吧，他骂我们女拳无所谓，他骂梁巨巨是女拳就很好玩了，人家是组织过为一线送卫生 巾的真女权啊，也被他们说是极端女权，那在他眼里啥不极端？,辩护者
kj_sport,我猜层主的意思可能是，这个人用与疫情相关的事情骂这位女性。因为他作为在武汉生活过的人却大难前没有基本人性而感到难过,辩护者
kj_sport,那请问您觉得才学丰富应该是什么样子的呢，琴棋书画样样精通吗？这种人好像只有存在于小说和电影里的江南四大才子才算吧,辩护者
kj_sport,嘲讽梁玉网暴素人看不到？别人在做公益他在满嘴喷 一码归一码 当时下蛋这事情我还站柯洁呢结果现在越来越歪 服了,辩护者
kj_sport,什么叫没有做错？不理智的人固然有，但是无风不起浪，若不是她对自己的言论不负责也不会招来这么多流言蜚语。,辩护者
kj_sport,胖儿可爱怎么啦？你要夸瘦的自己开博夸啊，夸胖儿可爱＝瘦的就不可爱？有屌无脑说的就是你8,辩护者
kj_sport,我没有骂过她一句我就想问问柯洁哪里针对女性了，她怎么没错了，几千条评论没有一个能讲道理的,辩护者
kj_sport,高鼻梁塌鼻梁是事实判断，人丑人美是价值判断；初段九段是事实判断，棋香棋臭是价值判断,辩护者
